time point	time (ms)
874	226.0742
875	226.5625
876	227.0508
877	227.5391
878	228.0273
879	228.5156
880	229.0039
881	229.4922
882	229.9805
883	230.4688
884	230.957
885	231.4453
886	231.9336
887	232.4219
888	232.9102
889	233.3984
890	233.8867
891	234.375
892	234.8633
893	235.3516
894	235.8398
895	236.3281
896	236.8164
897	237.3047
898	237.793
899	238.2813
900	238.7695
901	239.2578
902	239.7461
903	240.2344
904	240.7227
905	241.2109
906	241.6992
907	242.1875
908	242.6758
909	243.1641
910	243.6523
911	244.1406
912	244.6289
913	245.1172
914	245.6055
915	246.0938
916	246.582
917	247.0703
918	247.5586
919	248.0469
920	248.5352
921	249.0234
922	249.5117
923	250
924	250.4883
925	250.9766
926	251.4648
927	251.9531
928	252.4414
929	252.9297
930	253.418
931	253.9063
932	254.3945
933	254.8828
934	255.3711
935	255.8594
936	256.3477
937	256.8359
938	257.3242
939	257.8125
940	258.3008
941	258.7891
942	259.2773
943	259.7656
944	260.2539
945	260.7422
946	261.2305
947	261.7188
948	262.207
949	262.6953
950	263.1836
951	263.6719
952	264.1602
953	264.6484
954	265.1367
955	265.625
956	266.1133
957	266.6016
958	267.0898
959	267.5781
960	268.0664
961	268.5547
962	269.043
963	269.5313
964	270.0195
965	270.5078
966	270.9961
967	271.4844
968	271.9727
969	272.4609
970	272.9492
971	273.4375
972	273.9258
973	274.4141
974	274.9023
975	275.3906
976	275.8789
977	276.3672
978	276.8555
979	277.3438
980	277.832
981	278.3203
982	278.8086
983	279.2969
984	279.7852
985	280.2734
986	280.7617
987	281.25
988	281.7383
989	282.2266
990	282.7148
991	283.2031
992	283.6914
993	284.1797
994	284.668
995	285.1563
996	285.6445
997	286.1328
998	286.6211
999	287.1094
1000	287.5977
1001	288.0859
1002	288.5742
1003	289.0625
1004	289.5508
1005	290.0391
1006	290.5273
1007	291.0156
1008	291.5039
1009	291.9922
1010	292.4805
1011	292.9688
1012	293.457
1013	293.9453
1014	294.4336
1015	294.9219
1016	295.4102
1017	295.8984
1018	296.3867
1019	296.875
1020	297.3633
1021	297.8516
1022	298.3398
1023	298.8281
1024	299.3164
1025	299.8047
1026	300.293
1027	300.7813
1028	301.2695
1029	301.7578
1030	302.2461
1031	302.7344
1032	303.2227
1033	303.7109
1034	304.1992
1035	304.6875
1036	305.1758
1037	305.6641
1038	306.1523
1039	306.6406
1040	307.1289
1041	307.6172
1042	308.1055
1043	308.5938
1044	309.082
1045	309.5703
1046	310.0586
1047	310.5469
1048	311.0352
1049	311.5234
1050	312.0117
1051	312.5
1052	312.9883
1053	313.4766
1054	313.9648
1055	314.4531
1056	314.9414
1057	315.4297
1058	315.918
1059	316.4063
1060	316.8945
1061	317.3828
1062	317.8711
1063	318.3594
1064	318.8477
1065	319.3359
1066	319.8242
1067	320.3125
1068	320.8008
1069	321.2891
1070	321.7773
1071	322.2656
1072	322.7539
1073	323.2422
1074	323.7305
1075	324.2188
1076	324.707
1077	325.1953
1078	325.6836
1079	326.1719
1080	326.6602
1081	327.1484
1082	327.6367
1083	328.125
1084	328.6133
1085	329.1016
1086	329.5898
1087	330.0781
1088	330.5664
1089	331.0547
1090	331.543
1091	332.0313
1092	332.5195
1093	333.0078
1094	333.4961
1095	333.9844
1096	334.4727
1097	334.9609
1098	335.4492
1099	335.9375
1100	336.4258
1101	336.9141
1102	337.4023
1103	337.8906
1104	338.3789
1105	338.8672
1106	339.3555
1107	339.8438
1108	340.332
1109	340.8203
1110	341.3086
1111	341.7969
1112	342.2852
1113	342.7734
1114	343.2617
1115	343.75
1116	344.2383
1117	344.7266
1118	345.2148
1119	345.7031
1120	346.1914
1121	346.6797
1122	347.168
1123	347.6563
1124	348.1445
1125	348.6328
1126	349.1211
1127	349.6094
1128	350.0977
1129	350.5859
1130	351.0742
1131	351.5625
1132	352.0508
1133	352.5391
1134	353.0273
1135	353.5156
1136	354.0039
1137	354.4922
1138	354.9805
1139	355.4688
1140	355.957
1141	356.4453
1142	356.9336
1143	357.4219
1144	357.9102
1145	358.3984
1146	358.8867
1147	359.375
1148	359.8633
1149	360.3516
1150	360.8398
1151	361.3281
1152	361.8164
1153	362.3047
1154	362.793
1155	363.2813
1156	363.7695
1157	364.2578
1158	364.7461
1159	365.2344
1160	365.7227
1161	366.2109
1162	366.6992
1163	367.1875
1164	367.6758
1165	368.1641
1166	368.6523
1167	369.1406
1168	369.6289
1169	370.1172
1170	370.6055
1171	371.0938
1172	371.582
1173	372.0703
1174	372.5586
1175	373.0469
1176	373.5352
1177	374.0234
1178	374.5117
1179	375
1180	375.4883
1181	375.9766
1182	376.4648
1183	376.9531
1184	377.4414
1185	377.9297
1186	378.418
1187	378.9063
1188	379.3945
1189	379.8828
1190	380.3711
1191	380.8594
1192	381.3477
1193	381.8359
1194	382.3242
1195	382.8125
1196	383.3008
1197	383.7891
1198	384.2773
1199	384.7656
1200	385.2539
1201	385.7422
1202	386.2305
1203	386.7188
1204	387.207
1205	387.6953
1206	388.1836
1207	388.6719
1208	389.1602
1209	389.6484
1210	390.1367
1211	390.625
1212	391.1133
1213	391.6016
1214	392.0898
1215	392.5781
1216	393.0664
1217	393.5547
1218	394.043
1219	394.5313
1220	395.0195
1221	395.5078
1222	395.9961
1223	396.4844
1224	396.9727
1225	397.4609
1226	397.9492
1227	398.4375
1228	398.9258
1229	399.4141
1230	399.9023
1231	400.3906
1232	400.8789
1233	401.3672
1234	401.8555
1235	402.3438
1236	402.832
1237	403.3203
1238	403.8086
1239	404.2969
1240	404.7852
1241	405.2734
1242	405.7617
1243	406.25
1244	406.7383
1245	407.2266
1246	407.7148
1247	408.2031
1248	408.6914
1249	409.1797
1250	409.668
1251	410.1563
1252	410.6445
1253	411.1328
1254	411.6211
1255	412.1094
